id,learner_id,entry_order,kind,module_ref,module_title,week_ref,week_title,component_ref,component_title,component_type,quiz_ref,attempt,grade,achieved_score,total_score,passed,feedback,reported_time,started_at,submitted_at,time_taken,feed_kind,feed_action,feed_title,feed_detail,feed_occurred_at,plan_component_id,programme_ref,programme_title,cohort_ref,cohort_title,group_ref,group_title,expected_otjh,points
55,2,23,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-15 11:52:13.067037+00:00,,video,Watched video,Pre-recorded video,10 min,2026-07-15 11:52:13.067037+00:00,,,,,,,,,
56,2,24,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-15 13:22:26.065945+00:00,,video,Watched video,Pre-recorded video,23:16,2026-07-15 13:22:26.065945+00:00,,,,,,,,,
57,2,25,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-15 13:27:16.942165+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 0% · 0/20,2026-07-15 13:27:16.942165+00:00,,,,,,,,,
58,2,26,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-15 13:29:18.296822+00:00,,video,Watched video,Pre-recorded video,23:16,2026-07-15 13:29:18.296822+00:00,,,,,,,,,
59,2,27,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-15 13:30:20.741675+00:00,,video,Watched video,Pre-recorded video,23:16,2026-07-15 13:30:20.741675+00:00,,,,,,,,,
60,2,28,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-15 13:31:19.440176+00:00,,video,Watched video,Pre-recorded video,23:16,2026-07-15 13:31:19.440176+00:00,,,,,,,,,
61,2,29,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,True,,,,2026-07-15 13:41:27.656320+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 95% · 19/20,2026-07-15 13:41:27.656320+00:00,,,,,,,,,
62,2,30,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-202607090937403244390237,Workplace evidence upload tile==> Osama,workplace_evidence,,,,,,,,,,2026-07-18 12:01:25.752569+00:00,,component,Completed activity,Workplace evidence upload tile==> Osama,50,2026-07-18 12:01:25.752569+00:00,,,,,,,,,
63,2,31,activity_event,,Fouda-Module,,Week1,COMP-202607090937403244300235,Podcast Test,podcast,,,,,,,,,,2026-07-18 12:37:10.306401+00:00,,component,Listened to podcast,Podcast Test,20 minutes,2026-07-18 12:37:10.306401+00:00,,,,,,,,,
64,2,32,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-202607090937403244300235,Podcast =>osama,podcast,,,,,,,,,,2026-07-18 13:26:05.384828+00:00,,component,Listened to podcast,Podcast =>osama,2h,2026-07-18 13:26:05.384828+00:00,,,,,,,,,
65,2,33,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-19 09:42:07.343878+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 10% · 2/20,2026-07-19 09:42:07.343878+00:00,,,,,,,,,
66,2,34,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-19 09:45:41.289368+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 0% · 0/20,2026-07-19 09:45:41.289368+00:00,,,,,,,,,
67,2,35,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,,EXAM PMP strict required format,,66,,,,,False,,,,2026-07-19 09:46:45.113156+00:00,,quiz,Completed quiz,EXAM PMP strict required format,Scored 0% · 0/1,2026-07-19 09:46:45.113156+00:00,,,,,,,,,
68,2,36,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-19 11:25:05.519352+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 0% · 0/20,2026-07-19 11:25:05.519352+00:00,,,,,,,,,
69,2,37,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-202607090937403244300235,Podcast =>osama,podcast,,,,,,,,,,2026-07-20 09:19:58.490783+00:00,,component,Listened to podcast,Podcast =>osama,120 min,2026-07-20 09:19:58.490783+00:00,,,,,,,,,
70,2,38,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-25 08:14:24.832321+00:00,,video,Watched video,Pre-recorded video =>osama,2h,2026-07-25 08:14:24.832321+00:00,,,,,,,,,
71,2,39,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-202607250901108741FK2TV,Assignment test,assignment,,,,,,,,,,2026-07-25 09:32:02.018049+00:00,,component,Completed activity,Assignment test,2h,2026-07-25 09:32:02.018049+00:00,,,,,,,,,
72,2,40,activity_event,,,,,COMP-20260721161342509186,Video,video,,,,,,,,,,2026-07-25 11:56:39.856583+00:00,,component,Completed activity,Video,2h,2026-07-25 11:56:39.856583+00:00,,,,,,,,,
73,2,41,activity_event,,,,,COMP-20260721161358547129,Reading Material =>osama,reading,,,,,,,,,,2026-07-25 12:30:26.428970+00:00,,component,Completed reading,Reading Material =>osama,1h,2026-07-25 12:30:26.428970+00:00,,,,,,,,,
74,2,42,activity_event,,,,,COMP-20260721161358049897,Podcast =>osama,podcast,,,,,,,,,,2026-07-25 12:45:47.044472+00:00,,component,Listened to podcast,Podcast =>osama,1h,2026-07-25 12:45:47.044472+00:00,,,,,,,,,
75,2,43,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161358049897,Podcast =>osama,podcast,,,,,,,,,,2026-07-25 12:47:23.741883+00:00,,component,Listened to podcast,Podcast =>osama,2h,2026-07-25 12:47:23.741883+00:00,,,,,,,,,
76,2,44,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-26 21:51:59.551281+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-26 21:51:59.551281+00:00,,,,,,,,,
77,2,45,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 08:17:52.760207+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 08:17:52.760207+00:00,,,,,,,,,
78,2,46,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 08:27:59.131416+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 08:27:59.131416+00:00,,,,,,,,,
79,2,47,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 08:38:30.908264+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 08:38:30.908264+00:00,,,,,,,,,
80,2,48,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 08:47:37.880328+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 08:47:37.880328+00:00,,,,,,,,,
81,2,49,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 08:49:44.289984+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 08:49:44.289984+00:00,,,,,,,,,
82,2,50,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 09:53:48.688781+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 09:53:48.688781+00:00,,,,,,,,,
83,2,51,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 11:29:52.364535+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 11:29:52.364535+00:00,,,,,,,,,
84,2,52,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 13:24:01.154163+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 13:24:01.154163+00:00,,,,,,,,,
85,2,53,activity_event,,Fouda-Module,,Week1 Title is here ==> Osama,COMP-20260721161357553722,Pre-recorded video =>osama,,,,,,,,,,,2026-07-27 14:19:23.552389+00:00,,video,Watched video,Pre-recorded video =>osama,2,2026-07-27 14:19:23.552389+00:00,,,,,,,,,
86,4,4,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-15 12:52:25.495858+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 10% · 2/20,2026-07-15 12:52:25.495858+00:00,,,,,,,,,
87,4,5,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,,Social Media Marketing Executive Part1 What Social Media Scope Means Q1 20,,67,,,,,False,,,,2026-07-18 08:04:29.591546+00:00,,quiz,Completed quiz,Social Media Marketing Executive Part1 What Social Media Scope Means Q1 20,Scored 10% · 2/20,2026-07-18 08:04:29.591546+00:00,,,,,,,,,
88,4,6,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-18 08:05:37.417861+00:00,,video,Watched video,Pre-recorded video,120,2026-07-18 08:05:37.417861+00:00,3,,,,,,,,
89,2,54,quiz,,Fouda-Module,,Week1 Title is here ==> Osama,,test aya,,90,1,0.7100,4.00,7.00,True,test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test  test,90,2026-08-09 10:56:06.709000+00:00,2026-08-09 11:11:13.884064+00:00,01:26,quiz,Completed quiz,test aya,Scored 71.4% · 4/7,2026-08-09 11:11:13.884064+00:00,,,,,,,,,
90,18,1,component,MOD-20260805143221794F2NN00,Module,WEEK-20260805143224864642,Week 1,COMP-20260816E2E,E2E Integration Audit Component,reading,,1,,,,,Completed controlled activity after retired KSB prefetch fix.,2.5 hours,,2026-08-16 14:26:48.251390+00:00,25:00,component,Completed reading,E2E Integration Audit Component,2.5 hours,2026-08-16 14:26:48.251390+00:00,,PROG-20260708145303267692,Fouda-Programme,COHORT-20260805125557946N0X99X,lotfy-Cohort,GROUP-202608051255579460POX6D,G1-Osama,3.00,10
